,Gene name,mito,ORF,value,R value,P value,BH
351,MRPS28,mito,YDR337W,0.00011825020245164438,-0.03501718391425201,0.8172893203839051,1.126160143317065
352,MRPL20,mito,YKR085C,0.00011781625784603299,0.05490773582733938,0.7078725529953671,1.057633958603825
353,BNA3,mito,YJL060W,0.00011750680515838144,-0.22862287385389068,0.11027685171975977,0.496245832738919
354,FZO1,mito,YBR179C,0.00011471238341810968,-0.07887234534712059,0.5941229722205765,0.978757497588811
355,RSM19,mito,YNR037C,0.00011450711283715331,0.13280620664868595,0.37893882690040015,0.8052008623792286
356,TOM22,mito,YNL131W,0.00011327556587326853,-0.06585130836401269,0.6565449919839987,1.0245876671618872
357,RMD9,mito,YGL107C,0.00011311974908417942,-0.06242183019924738,0.6667262215594929,1.030600532308911
358,YMC1,mito,YPR058W,0.00011229460144528342,0.23645263533437322,0.10565250717409361,0.48500882487973174
359,TCD2,mito,YKL027W,0.00011137247693291442,-0.020709569400738585,0.8864875126261733,1.1703483085047337
360,CYC3,mito,YAL039C,0.00010986131051852776,0.1984120851624754,0.17641088041407046,0.5967608417567962
361,MTF2,mito,YDL044C,0.00010981374344809729,0.03701843675559835,0.8027448712632281,1.1187397961370171
362,MIC26,mito,YGR235C,0.00010971683717318278,0.11219259628287345,0.4379203292301772,0.8607399574524173
363,VAR1,mito,Q0140,0.00010859722774918493,-0.06744895397993066,0.65237243358237,1.0222743289125797
364,HEM14,mito,YER014W,0.00010834780493755914,-0.00157983385946093,0.9914042777155727,1.2287018045976656
365,RSM24,mito,YDR175C,0.00010796531788855601,0.03674127500826692,0.8000252323243412,1.1185961956456447
366,TOM5,mito,YPR133W-A,0.00010795659274528869,0.020152883398046058,0.8930432506447659,1.172665738992167
367,NUC1,mito,YJL208C,0.00010783053371371139,-0.11411190835944938,0.4399495378064735,0.8622506700848936
368,ERV1,mito,YGR029W,0.00010760490438034438,0.09582912517102685,0.5311867906620202,0.933055379591222
369,RSM25,mito,YIL093C,0.00010757147162371838,0.023549278374163457,0.8710465866128975,1.1609428395230357
370,MRPS12,mito,YNR036C,0.00010655101498273194,-0.08258914690956519,0.589640292536801,0.9763107240260757
371,RSM18,mito,YER050C,0.0001065301021057424,-0.004606001076196525,0.9790500081838915,1.2220259226236896
372,MRP13,mito,YGR084C,0.00010597346264372564,0.08520444115573961,0.5563180180030164,0.95225606685201
373,BNA4,mito,YBL098W,0.00010551446069022457,-0.009280287536718699,0.9500832763020751,1.2065669531946144
374,RRF1,mito,YHR038W,0.00010523287469892424,0.1371659933397849,0.35254288745327766,0.7796292758423599
375,MRPL35,mito,YDR322W,0.00010459597462195477,0.059848934744943814,0.6797073690493243,1.039391550256512
376,MRPL6,mito,YHR147C,0.00010445955347511625,0.08982639817371986,0.53502118680418,0.9364239809981042
377,MRPS5,mito,YBR251W,0.00010400102526451571,0.019039217354140266,0.8955899639218706,1.1748821160770224
378,CCA1,mito,YER168C,0.00010362144839304042,-0.2851773924389194,0.047015078353756,0.33568177029195306
379,MDV1,mito,YJL112W,0.00010335918687881273,0.08116895988810444,0.5752336958534305,0.963889877422211
380,MRP51,mito,YPL118W,0.00010309849341826508,0.037642740229776935,0.7952232479352278,1.1153018281478282
381,PSP1,mito,YDR505C,0.00010293186943025652,-0.08652324902950316,0.5587174162853876,0.9525491344446788
382,GPX2,mito,YBR244W,0.00010246891478166826,-0.5188904067249138,0.0006025306551408397,0.018564458023258304
